feature,importance
ATR_14,6857.12700510025
Time_Sin,6649.806684732437
MOM_ADX_14,6370.830346107483
MOM_BB_Width,6279.247379541397
MOM_MACD_Signal,6054.404002666473
Time_Cos,6036.922930240631
MOM_STOCH_K_10080,5862.9689836502075
MOM_STOCH_K_288,5670.935116291046
MOM_DMP_14,5297.108132839203
Volume_Log,5016.435829162598
MOM_STOCH_D_2016,5015.968740463257
MOM_MACD_Hist,4946.359084606171
MOM_DMN_14,4902.936666965485
MOM_STOCH_K_4032,4797.014572620392
MOM_STOCH_D_10080,4741.312644004822
log_ret,4731.261997699738
MOM_STOCH_D_864,4693.225927829742
MOM_STOCH_D_288,4602.906226158142
MOM_MACD,4435.800183296204
MOM_STOCH_K_2016,4355.981472492218
MOM_RSI_14,4335.288517475128
MOM_STOCH_K_864,4202.565540313721
MOM_BB_PctB,4053.6001925468445
MOM_STOCH_D_4032,3893.987400531769
Time_DayOfWeek_Sin,1869.5333366394043
Time_DayOfWeek_Cos,993.7564034461975
